username,text,timestamp,cleaning_text,case_folding,hasil_normalisasi,provider,tokenize,stopward removal
hengkiya_,"Jaringan xl kdang"" Hilang sinyal mana main game lagiðŸ˜¢",12/31/25 11:05 PM,Jaringan xl kdang Hilang sinyal mana main game lagi,jaringan xl kdang hilang sinyal mana main game lagi,jaringan xl kadang hilang sinyal mana main game lagi,XL,"['jaringan', 'xl', 'kadang', 'hilang', 'sinyal', 'mana', 'main', 'game', 'lagi']",jaringan xl kadang hilang sinyal main game
marcll17,min kenapa paket bonus combo activity saya tiba tiba hilang pas saya mengambil bonus combo biasanya dia tidak hilang,12/31/25 11:05 PM,min kenapa paket bonus combo activity saya tiba tiba hilang pas saya mengambil bonus combo biasanya dia tidak hilang,min kenapa paket bonus combo activity saya tiba tiba hilang pas saya mengambil bonus combo biasanya dia tidak hilang,min kenapa paket bonus combo activity saya tiba tiba hilang pas saya mengambil bonus combo biasanya dia tidak hilang,XL,"['min', 'kenapa', 'paket', 'bonus', 'combo', 'activity', 'saya', 'tiba', 'tiba', 'hilang', 'pas', 'saya', 'mengambil', 'bonus', 'combo', 'biasanya', 'dia', 'tidak', 'hilang']",paket bonus combo activity hilang pas mengambil bonus combo hilang
ars__store,Ini XL gangguan mulu ya. Saya sudah sejak hari senin 28 April 2025 sinyal hanya 1 bar saja lokasi wilayah Cileungsi Kab Bogor. Tdk bisa ngapa2in dgn sinyal 1 bar.Tolong di perbaiki dong segera sangat mengganggu aktifitas,12/31/25 11:05 PM,Ini XL gangguan mulu ya Saya sudah sejak hari senin 28 April 2025 sinyal hanya 1 bar saja lokasi wilayah Cileungsi Kab Bogor Tdk bisa ngapa2in dgn sinyal 1 bar Tolong di perbaiki dong segera sangat mengganggu aktifitas,ini xl gangguan mulu ya saya sudah sejak hari senin 28 april 2025 sinyal hanya 1 bar saja lokasi wilayah cileungsi kab bogor tdk bisa ngapa2in dgn sinyal 1 bar tolong di perbaiki dong segera sangat mengganggu aktifitas,ini xl gangguan mulu ya saya sudah sejak hari senin 28 april 2025 sinyal hanya 1 bar saja lokasi wilayah cileungsi kab bogor tidak bisa ngapa2in dengan sinyal 1 bar tolong di perbaiki dong segera sangat mengganggu aktifitas,XL,"['ini', 'xl', 'gangguan', 'mulu', 'ya', 'saya', 'sudah', 'sejak', 'hari', 'senin', '28', 'april', '2025', 'sinyal', 'hanya', '1', 'bar', 'saja', 'lokasi', 'wilayah', 'cileungsi', 'kab', 'bogor', 'tidak', 'bisa', 'ngapa2in', 'dengan', 'sinyal', '1', 'bar', 'tolong', 'di', 'perbaiki', 'dong', 'segera', 'sangat', 'mengganggu', 'aktifitas']",xl gangguan mulu senin 28 april 2025 sinyal 1 bar lokasi wilayah cileungsi kab bogor ngapa2in sinyal 1 bar tolong perbaiki mengganggu aktifitas
applecheekishere,min tolong lahhh jaringan 1 bar mulu udah seminggu,12/31/25 11:05 PM,min tolong lah jaringan 1 bar mulu udah seminggu,min tolong lah jaringan 1 bar mulu udah seminggu,min tolong lah jaringan 1 bar mulu sudah seminggu,XL,"['min', 'tolong', 'lah', 'jaringan', '1', 'bar', 'mulu', 'sudah', 'seminggu']",tolong jaringan 1 bar mulu seminggu
badrulkamal__,Ko jadi mahal bat dah kuota,12/31/25 11:05 PM,Ko jadi mahal bat dah kuota,ko jadi mahal bat dah kuota,kok jadi mahal banget sudah kuota,XL,"['kok', 'jadi', 'mahal', 'banget', 'sudah', 'kuota']",mahal banget kuota
7ustien_,"kenapa sinyal XL seburuk ini ?? ,asal aku main mobile legend jaringan nya kuning dan merah ga pernah hijau ( bagus ) ,lelet banget main geme ni jaringan ,tolong dong di benerin jaringan nya cape banget marah Â² trus sama jaringan xL nih",12/31/25 11:05 PM,kenapa sinyal XL seburuk ini asal aku main mobile legend jaringan nya kuning dan merah ga pernah hijau bagus lelet banget main geme ni jaringan tolong dong di benerin jaringan nya cape banget marah trus sama jaringan xL nih,kenapa sinyal xl seburuk ini asal aku main mobile legend jaringan nya kuning dan merah ga pernah hijau bagus lelet banget main geme ni jaringan tolong dong di benerin jaringan nya cape banget marah trus sama jaringan xl nih,kenapa sinyal xl seburuk ini asal aku main mobile legend jaringan ya kuning dan merah tidak pernah hijau bagus lelet banget main geme nih jaringan tolong dong di benerin jaringan ya capek banget marah terus sama jaringan xl nih,XL,"['kenapa', 'sinyal', 'xl', 'seburuk', 'ini', 'asal', 'aku', 'main', 'mobile', 'legend', 'jaringan', 'ya', 'kuning', 'dan', 'merah', 'tidak', 'pernah', 'hijau', 'bagus', 'lelet', 'banget', 'main', 'geme', 'nih', 'jaringan', 'tolong', 'dong', 'di', 'benerin', 'jaringan', 'ya', 'capek', 'banget', 'marah', 'terus', 'sama', 'jaringan', 'xl', 'nih']",sinyal xl seburuk main mobile legend jaringan kuning merah hijau bagus lelet banget main geme jaringan tolong benerin jaringan capek banget marah jaringan xl
ylwazd,"xl knp dah udh 2 hari ga ada sinyal pdhl baru 1 bulan pemakain udh lelet gini sinyalnya,udh restart berkali kali sinyal nya tetap aja ga ada",12/31/25 11:05 PM,xl knp dah udh 2 hari ga ada sinyal pdhl baru 1 bulan pemakain udh lelet gini sinyalnya udh restart berkali kali sinyal nya tetap aja ga ada,xl knp dah udh 2 hari ga ada sinyal pdhl baru 1 bulan pemakain udh lelet gini sinyalnya udh restart berkali kali sinyal nya tetap aja ga ada,xl kenapa sudah sudah 2 hari tidak ada sinyal padahal baru 1 bulan pemakain sudah lelet begini sinyalnya sudah restart berkali kali sinyal ya tetap saja tidak ada,XL,"['xl', 'kenapa', 'sudah', 'sudah', '2', 'hari', 'tidak', 'ada', 'sinyal', 'padahal', 'baru', '1', 'bulan', 'pemakain', 'sudah', 'lelet', 'begini', 'sinyalnya', 'sudah', 'restart', 'berkali', 'kali', 'sinyal', 'ya', 'tetap', 'saja', 'tidak', 'ada']",xl 2 sinyal 1 pemakain lelet sinyalnya restart berkali kali sinyal
stnrksslhti_,bonus aktivasi tidak bisa dipakai padahal kuotanya masih ada kenapa???,12/31/25 11:05 PM,bonus aktivasi tidak bisa dipakai padahal kuotanya masih ada kenapa,bonus aktivasi tidak bisa dipakai padahal kuotanya masih ada kenapa,bonus aktivasi tidak bisa dipakai padahal kuotanya masih ada kenapa,XL,"['bonus', 'aktivasi', 'tidak', 'bisa', 'dipakai', 'padahal', 'kuotanya', 'masih', 'ada', 'kenapa']",bonus aktivasi dipakai kuotanya
diys_alms,Min Gimana Ini Kuotaku Masih 27gb Tapi Kok Ga Bisa Di Gunakan?,12/31/25 11:05 PM,Min Gimana Ini Kuotaku Masih 27gb Tapi Kok Ga Bisa Di Gunakan,min gimana ini kuotaku masih 27gb tapi kok ga bisa di gunakan,min bagaimana ini kuotaku masih 27gb tapi kok tidak bisa di gunakan,XL,"['min', 'bagaimana', 'ini', 'kuotaku', 'masih', '27gb', 'tapi', 'kok', 'tidak', 'bisa', 'di', 'gunakan']",kuotaku 27gb
gevin.shn,"min, jadi gini gua punya kuota pelanggan baru dan kuota pelanggan baru area tapi tidak bisa digunakan sama sekali. Mohon pencerahannya min",12/31/25 11:05 PM,min jadi gini gua punya kuota pelanggan baru dan kuota pelanggan baru area tapi tidak bisa digunakan sama sekali Mohon pencerahannya min,min jadi gini gua punya kuota pelanggan baru dan kuota pelanggan baru area tapi tidak bisa digunakan sama sekali mohon pencerahannya min,min jadi begini gua punya kuota pelanggan baru dan kuota pelanggan baru area tapi tidak bisa digunakan sama sekali mohon pencerahannya min,XL,"['min', 'jadi', 'begini', 'gua', 'punya', 'kuota', 'pelanggan', 'baru', 'dan', 'kuota', 'pelanggan', 'baru', 'area', 'tapi', 'tidak', 'bisa', 'digunakan', 'sama', 'sekali', 'mohon', 'pencerahannya', 'min']",kuota pelanggan kuota pelanggan area mohon pencerahannya
dtikasya,Min mau tanya kenapa kartu XL saya udh gk ada fitur Xtra Combo Flex sedangkan kartu mama saya ada.,12/31/25 11:05 PM,Min mau tanya kenapa kartu XL saya udh gk ada fitur Xtra Combo Flex sedangkan kartu mama saya ada,min mau tanya kenapa kartu xl saya udh gk ada fitur xtra combo flex sedangkan kartu mama saya ada,min mau tanya kenapa kartu xl saya sudah tidak ada fitur xtra combo flex sedangkan kartu mama saya ada,XL,"['min', 'mau', 'tanya', 'kenapa', 'kartu', 'xl', 'saya', 'sudah', 'tidak', 'ada', 'fitur', 'xtra', 'combo', 'flex', 'sedangkan', 'kartu', 'mama', 'saya', 'ada']",kartu xl fitur xtra combo flex kartu mama
amboy_boyy,Yah promo 184 GB 35 ribu ilangðŸ˜‚ðŸ˜‚,12/31/25 11:05 PM,Yah promo 184 GB 35 ribu ilang,yah promo 184 gb 35 ribu ilang,ya promo 184 gb 35 ribu hilang,XL,"['ya', 'promo', '184', 'gb', '35', 'ribu', 'hilang']",promo 184 gb 35 ribu hilang
ezradtyaptr_,min sinyal nya ilang dari kemaren bar 0 mulu,12/31/25 11:05 PM,min sinyal nya ilang dari kemaren bar 0 mulu,min sinyal nya ilang dari kemaren bar 0 mulu,min sinyal ya hilang dari kemarin bar 0 mulu,XL,"['min', 'sinyal', 'ya', 'hilang', 'dari', 'kemarin', 'bar', '0', 'mulu']",sinyal hilang kemarin bar 0 mulu
xakmalm,kuota saya belum masuk dari kemarin,12/31/25 11:05 PM,kuota saya belum masuk dari kemarin,kuota saya belum masuk dari kemarin,kuota saya belum masuk dari kemarin,XL,"['kuota', 'saya', 'belum', 'masuk', 'dari', 'kemarin']",kuota masuk kemarin
ninassknh,Min saya baru beli paket kok masa aktif kartunya ga nambah ya?,12/31/25 11:05 PM,Min saya baru beli paket kok masa aktif kartunya ga nambah ya,min saya baru beli paket kok masa aktif kartunya ga nambah ya,min saya baru beli paket kok masa aktif kartunya tidak menambah ya,XL,"['min', 'saya', 'baru', 'beli', 'paket', 'kok', 'masa', 'aktif', 'kartunya', 'tidak', 'menambah', 'ya']",beli paket aktif kartunya menambah
rxurama,Ni Xl dari kmarin gangguan mulu ya,12/31/25 11:05 PM,Ni Xl dari kmarin gangguan mulu ya,ni xl dari kmarin gangguan mulu ya,nih xl dari kemarin gangguan mulu ya,XL,"['nih', 'xl', 'dari', 'kemarin', 'gangguan', 'mulu', 'ya']",xl kemarin gangguan mulu
gustisudarsudar,min kenapa reward saya dari platinum turun ke gold ?,12/31/25 11:05 PM,min kenapa reward saya dari platinum turun ke gold,min kenapa reward saya dari platinum turun ke gold,min kenapa reward saya dari platinum turun ke gold,XL,"['min', 'kenapa', 'reward', 'saya', 'dari', 'platinum', 'turun', 'ke', 'gold']",reward platinum turun gold
geworrrr_,Makin kesini makin ga jelas jaringan lu kocak,12/31/25 11:05 PM,Makin kesini makin ga jelas jaringan lu kocak,makin kesini makin ga jelas jaringan lu kocak,makin kesini makin tidak jelas jaringan kamu kocak,XL,"['makin', 'kesini', 'makin', 'tidak', 'jelas', 'jaringan', 'kamu', 'kocak']",kesini jaringan kocak
lulut.hh,"memperbanyak fitur tapi tidak memperbaiki sinyal dan jaringan, sudah telpon cs soal jaringan yang lemot pun cs gak bisa ngasih solusi, cuman di cek di cek di cek aja. malah di suruh ke center yang di mana itu di kota sebelah, apa gak mending ganti kartu aja, agak lawak xl iniðŸ˜‚ðŸ˜‚",12/31/25 11:05 PM,memperbanyak fitur tapi tidak memperbaiki sinyal dan jaringan sudah telpon cs soal jaringan yang lemot pun cs gak bisa ngasih solusi cuman di cek di cek di cek aja malah di suruh ke center yang di mana itu di kota sebelah apa gak mending ganti kartu aja agak lawak xl ini,memperbanyak fitur tapi tidak memperbaiki sinyal dan jaringan sudah telpon cs soal jaringan yang lemot pun cs gak bisa ngasih solusi cuman di cek di cek di cek aja malah di suruh ke center yang di mana itu di kota sebelah apa gak mending ganti kartu aja agak lawak xl ini,memperbanyak fitur tapi tidak memperbaiki sinyal dan jaringan sudah telpon cs soal jaringan yang lemot pun cs tidak bisa mengasih solusi cuman di cek di cek di cek saja malah di suruh ke center yang di mana itu di kota sebelah apa tidak mending ganti kartu saja agak lawak xl ini,XL,"['memperbanyak', 'fitur', 'tapi', 'tidak', 'memperbaiki', 'sinyal', 'dan', 'jaringan', 'sudah', 'telpon', 'cs', 'soal', 'jaringan', 'yang', 'lemot', 'pun', 'cs', 'tidak', 'bisa', 'mengasih', 'solusi', 'cuman', 'di', 'cek', 'di', 'cek', 'di', 'cek', 'saja', 'malah', 'di', 'suruh', 'ke', 'center', 'yang', 'di', 'mana', 'itu', 'di', 'kota', 'sebelah', 'apa', 'tidak', 'mending', 'ganti', 'kartu', 'saja', 'agak', 'lawak', 'xl', 'ini']",memperbanyak fitur memperbaiki sinyal jaringan telpon cs jaringan lemot cs mengasih solusi cuman suruh center kota sebelah ganti kartu lawak xl
