username,text,timestamp,cleaning_text,case_folding,hasil_normalisasi,provider,tokenize,stopward removal
sutasaputra23|sutasaputra23|Opsi Komentar|Opsi Komentar|Opsi Komentar,"Kecewa pakek by u , udah fitur gift hadiah ilang , sinyal ilang2an ,apk ngbug mulu",2/25/26 11:41 PM,Kecewa pakek by u udah fitur gift hadiah ilang sinyal ilang2an apk ngbug mulu,kecewa pakek by u udah fitur gift hadiah ilang sinyal ilang2an apk ngbug mulu,kecewa pakai by lu sudah fitur gift hadiah hilang sinyal ilang2an apk ngbug mulu,ByU,"['kecewa', 'pakai', 'by', 'lu', 'sudah', 'fitur', 'gift', 'hadiah', 'hilang', 'sinyal', 'ilang2an', 'apk', 'ngbug', 'mulu']",kecewa pakai by lu fitur gift hadiah hilang sinyal ilang2an apk ngbug mulu
nikkoxmt|nikkoxmt|Opsi Komentar|Opsi Komentar|Opsi Komentar,"sinyal per hari i i jelek kenapa ya, padahal ga ada cuaca ekstrem. sleman jogja",2/25/26 11:41 PM,sinyal per hari i i jelek kenapa ya padahal ga ada cuaca ekstrem sleman jogja,sinyal per hari i i jelek kenapa ya padahal ga ada cuaca ekstrem sleman jogja,sinyal per hari i i jelek kenapa ya padahal tidak ada cuaca ekstrem sleman jogja,ByU,"['sinyal', 'per', 'hari', 'i', 'i', 'jelek', 'kenapa', 'ya', 'padahal', 'tidak', 'ada', 'cuaca', 'ekstrem', 'sleman', 'jogja']",sinyal i i jelek cuaca ekstrem sleman jogja
renssrens|renssrens|Opsi Komentar|Opsi Komentar|Opsi Komentar,Tobat gue pake kartu byuðŸ˜¢ðŸ˜¢,2/25/26 11:41 PM,Tobat gue pake kartu byu,tobat gue pake kartu byu,tobat gue pakai kartu byu,ByU,"['tobat', 'gue', 'pakai', 'kartu', 'byu']",tobat pakai kartu byu
mhmd.sidiqs|mhmd.sidiqs|Opsi Komentar|Opsi Komentar|Opsi Komentar,Sinyal apaan ini provider kntol,2/25/26 11:41 PM,Sinyal apaan ini provider kntol,sinyal apaan ini provider kntol,sinyal apaan ini provider kntol,ByU,"['sinyal', 'apaan', 'ini', 'provider', 'kntol']",sinyal provider kntol
dias.gram|dias.gram|Opsi Komentar|Opsi Komentar|Opsi Komentar,Sinyal daerah Surakarta 2 hari kemarin udh jelek bget nih,2/25/26 11:41 PM,Sinyal daerah Surakarta 2 hari kemarin udh jelek bget nih,sinyal daerah surakarta 2 hari kemarin udh jelek bget nih,sinyal daerah surakarta 2 hari kemarin sudah jelek banget nih,ByU,"['sinyal', 'daerah', 'surakarta', '2', 'hari', 'kemarin', 'sudah', 'jelek', 'banget', 'nih']",sinyal daerah surakarta 2 kemarin jelek banget
se3nzzz_|se3nzzz_|Opsi Komentar|Opsi Komentar|Opsi Komentar,"sinyal benerin dong, udh bbrp minggu ini ngelag parah.",2/25/26 11:41 PM,sinyal benerin dong udh bbrp minggu ini ngelag parah,sinyal benerin dong udh bbrp minggu ini ngelag parah,sinyal benerin dong sudah beberapa minggu ini ngelag parah,ByU,"['sinyal', 'benerin', 'dong', 'sudah', 'beberapa', 'minggu', 'ini', 'ngelag', 'parah']",sinyal benerin minggu ngelag parah
revinaramadhani_|revinaramadhani_|Opsi Komentar|Opsi Komentar|Opsi Komentar,Kenapa susah banget buat masuk ke aplikasi by.u ya?,2/25/26 11:41 PM,Kenapa susah banget buat masuk ke aplikasi by u ya,kenapa susah banget buat masuk ke aplikasi by u ya,kenapa susah banget buat masuk ke aplikasi by lu ya,ByU,"['kenapa', 'susah', 'banget', 'buat', 'masuk', 'ke', 'aplikasi', 'by', 'lu', 'ya']",susah banget masuk aplikasi by lu
rakaputraa96|rakaputraa96|Opsi Komentar|Opsi Komentar|Opsi Komentar,termasuk ganti kartu yg hilang jg kaga min ?,2/25/26 11:41 PM,termasuk ganti kartu yg hilang jg kaga min,termasuk ganti kartu yg hilang jg kaga min,termasuk ganti kartu yang hilang juga kagak min,ByU,"['termasuk', 'ganti', 'kartu', 'yang', 'hilang', 'juga', 'kagak', 'min']",ganti kartu hilang kagak
reina.dye|reina.dye|Opsi Komentar|Opsi Komentar|Opsi Komentar,"Kak, ini kenapa aplikasi tidak dapat dibuka sejak sahur tadi ya? Sinyal full, aplikasi sudah diupdate, kuota masih banyak, tapi stuck di tampilan awal",2/25/26 11:41 PM,Kak ini kenapa aplikasi tidak dapat dibuka sejak sahur tadi ya Sinyal full aplikasi sudah diupdate kuota masih banyak tapi stuck di tampilan awal,kak ini kenapa aplikasi tidak dapat dibuka sejak sahur tadi ya sinyal full aplikasi sudah diupdate kuota masih banyak tapi stuck di tampilan awal,kak ini kenapa aplikasi tidak dapat dibuka sejak sahur tadi ya sinyal full aplikasi sudah diupdate kuota masih banyak tapi stuck di tampilan awal,ByU,"['kak', 'ini', 'kenapa', 'aplikasi', 'tidak', 'dapat', 'dibuka', 'sejak', 'sahur', 'tadi', 'ya', 'sinyal', 'full', 'aplikasi', 'sudah', 'diupdate', 'kuota', 'masih', 'banyak', 'tapi', 'stuck', 'di', 'tampilan', 'awal']",aplikasi dibuka sahur sinyal full aplikasi diupdate kuota stuck tampilan
ellyousup|ellyousup|Opsi Komentar|Opsi Komentar|Opsi Komentar,"hari hari sinyal makin rusak . mau jadi apa ini provider , keluhan dari customer bukannya dipelajari , malah update yg gajelas",2/25/26 11:41 PM,hari hari sinyal makin rusak mau jadi apa ini provider keluhan dari customer bukannya dipelajari malah update yg gajelas,hari hari sinyal makin rusak mau jadi apa ini provider keluhan dari customer bukannya dipelajari malah update yg gajelas,hari hari sinyal makin rusak mau jadi apa ini provider keluhan dari customer bukannya dipelajari malah update yang tidak jelas,ByU,"['hari', 'hari', 'sinyal', 'makin', 'rusak', 'mau', 'jadi', 'apa', 'ini', 'provider', 'keluhan', 'dari', 'customer', 'bukannya', 'dipelajari', 'malah', 'update', 'yang', 'tidak', 'jelas']",sinyal rusak provider keluhan customer dipelajari update
chn.adityaa|chn.adityaa|Opsi Komentar|Opsi Komentar|Opsi Komentar,"Sinyal nomer 1 datanya dari mana itu, sinyal nya jelek giniðŸ˜¢",2/25/26 11:41 PM,Sinyal nomer 1 datanya dari mana itu sinyal nya jelek gini,sinyal nomer 1 datanya dari mana itu sinyal nya jelek gini,sinyal nomer 1 datanya dari mana itu sinyal ya jelek begini,ByU,"['sinyal', 'nomer', '1', 'datanya', 'dari', 'mana', 'itu', 'sinyal', 'ya', 'jelek', 'begini']",sinyal nomer 1 datanya sinyal jelek
novianto8988|novianto8988|Opsi Komentar|Opsi Komentar|Opsi Komentar,Udah 2hari ini sinyalnya busuk di area solo,2/25/26 11:41 PM,Udah 2hari ini sinyalnya busuk di area solo,udah 2hari ini sinyalnya busuk di area solo,sudah 2hari ini sinyalnya busuk di area solo,ByU,"['sudah', '2hari', 'ini', 'sinyalnya', 'busuk', 'di', 'area', 'solo']",2hari sinyalnya busuk area solo
indosatim3,"Skip retake. Foto udah bagus, tinggal edit pakai Google Gemini âœ¨Paket Ramadan SATSPAM+ 150rb udah termasuk kuota 150GB/28 hari dan bisa upgrade ke paket plusnya Google Gemini selama 6 bulan, jadi kamu bisa edit foto ucapan lebaran jadi lebih oke pakai Nano Banana Pro.Beli sekarang, hanya di myIM3!#LebihBaikIndosat",3/18/26 11:41 PM,Skip retake Foto udah bagus tinggal edit pakai Google Gemini Paket Ramadan SATSPAM 150rb udah termasuk kuota 150GB 28 hari dan bisa upgrade ke paket plusnya Google Gemini selama 6 bulan jadi kamu bisa edit foto ucapan lebaran jadi lebih oke pakai Nano Banana Pro Beli sekarang hanya di myIM3,skip retake foto udah bagus tinggal edit pakai google gemini paket ramadan satspam 150rb udah termasuk kuota 150gb 28 hari dan bisa upgrade ke paket plusnya google gemini selama 6 bulan jadi kamu bisa edit foto ucapan lebaran jadi lebih oke pakai nano banana pro beli sekarang hanya di myim3,skip retake foto sudah bagus tinggal edit pakai google gemini paket ramadan satspam 150rb sudah termasuk kuota 150gb 28 hari dan bisa upgrade ke paket plusnya google gemini selama 6 bulan jadi kamu bisa edit foto ucapan lebaran jadi lebih oke pakai nano banana pro beli sekarang hanya di myim3,IM3,"['skip', 'retake', 'foto', 'sudah', 'bagus', 'tinggal', 'edit', 'pakai', 'google', 'gemini', 'paket', 'ramadan', 'satspam', '150rb', 'sudah', 'termasuk', 'kuota', '150gb', '28', 'hari', 'dan', 'bisa', 'upgrade', 'ke', 'paket', 'plusnya', 'google', 'gemini', 'selama', '6', 'bulan', 'jadi', 'kamu', 'bisa', 'edit', 'foto', 'ucapan', 'lebaran', 'jadi', 'lebih', 'oke', 'pakai', 'nano', 'banana', 'pro', 'beli', 'sekarang', 'hanya', 'di', 'myim3']",skip retake foto bagus tinggal edit pakai google gemini paket ramadan satspam 150rb kuota 150gb 28 upgrade paket plusnya google gemini 6 edit foto ucapan lebaran oke pakai nano banana pro beli myim3
feriijulianto__,Kak saya membeli paket kuota kok tidak nambah masa aktif kartu yaaa??,3/25/26 11:41 PM,Kak saya membeli paket kuota kok tidak nambah masa aktif kartu ya,kak saya membeli paket kuota kok tidak nambah masa aktif kartu ya,kak saya membeli paket kuota kok tidak menambah masa aktif kartu ya,IM3,"['kak', 'saya', 'membeli', 'paket', 'kuota', 'kok', 'tidak', 'menambah', 'masa', 'aktif', 'kartu', 'ya']",membeli paket kuota menambah aktif kartu
naasetyana03,Kami di Makassar sejak kemarin tak ada signalðŸ˜¢,3/18/26 11:41 PM,Kami di Makassar sejak kemarin tak ada signal,kami di makassar sejak kemarin tak ada signal,kami di makassar sejak kemarin tak ada signal,IM3,"['kami', 'di', 'makassar', 'sejak', 'kemarin', 'tak', 'ada', 'signal']",makassar kemarin signal
akbaarrjaahhh,masyaalahh sinyall bikin orang batal puasa ðŸ˜¢,3/25/26 11:41 PM,masyaalahh sinyall bikin orang batal puasa,masyaalahh sinyall bikin orang batal puasa,masyaalahh sinyall bikin orang batal puasa,IM3,"['masyaalahh', 'sinyall', 'bikin', 'orang', 'batal', 'puasa']",masyaalahh sinyall bikin orang batal puasa
frmn_84,Sinyal nya sampe x nih?.,3/25/26 11:41 PM,Sinyal nya sampe x nih,sinyal nya sampe x nih,sinyal ya sampai kali nih,IM3,"['sinyal', 'ya', 'sampai', 'kali', 'nih']",sinyal kali
cuu_nura,Ka kenapa ya hari ini dari jam 12 siang sinyal hilang padahal batang sinyal nya full dan aku udh beli kuota kenapa ya,3/25/26 11:41 PM,Ka kenapa ya hari ini dari jam 12 siang sinyal hilang padahal batang sinyal nya full dan aku udh beli kuota kenapa ya,ka kenapa ya hari ini dari jam 12 siang sinyal hilang padahal batang sinyal nya full dan aku udh beli kuota kenapa ya,kak kenapa ya hari ini dari jam 12 siang sinyal hilang padahal batang sinyal ya full dan aku sudah beli kuota kenapa ya,IM3,"['kak', 'kenapa', 'ya', 'hari', 'ini', 'dari', 'jam', '12', 'siang', 'sinyal', 'hilang', 'padahal', 'batang', 'sinyal', 'ya', 'full', 'dan', 'aku', 'sudah', 'beli', 'kuota', 'kenapa', 'ya']",jam 12 siang sinyal hilang batang sinyal full beli kuota
werdyisme,"min tolong berhentiin external charging system nomor saya min, padahal saya ga pernah daftar",3/25/26 11:41 PM,min tolong berhentiin external charging system nomor saya min padahal saya ga pernah daftar,min tolong berhentiin external charging system nomor saya min padahal saya ga pernah daftar,min tolong berhentiin external charging system nomor saya min padahal saya tidak pernah daftar,IM3,"['min', 'tolong', 'berhentiin', 'external', 'charging', 'system', 'nomor', 'saya', 'min', 'padahal', 'saya', 'tidak', 'pernah', 'daftar']",tolong berhentiin external charging system nomor daftar
jihankasih58,"Harga paket makin mahal,sinyal makin jelek!pada pindah provider aja sih",3/25/26 11:41 PM,Harga paket makin mahal sinyal makin jelek pada pindah provider aja sih,harga paket makin mahal sinyal makin jelek pada pindah provider aja sih,harga paket makin mahal sinyal makin jelek pada pindah provider saja sih,IM3,"['harga', 'paket', 'makin', 'mahal', 'sinyal', 'makin', 'jelek', 'pada', 'pindah', 'provider', 'saja', 'sih']",harga paket mahal sinyal jelek pindah provider
derisasyhra,sinyal 3 hari jelek bangetttt,3/25/26 11:41 PM,sinyal 3 hari jelek banget,sinyal 3 hari jelek banget,sinyal 3 hari jelek banget,IM3,"['sinyal', '3', 'hari', 'jelek', 'banget']",sinyal 3 jelek banget
chntylrstyy_,Min udah seminggu Indosat kacau ðŸ˜¢,3/18/26 11:41 PM,Min udah seminggu Indosat kacau,min udah seminggu indosat kacau,min sudah seminggu indosat kacau,IM3,"['min', 'sudah', 'seminggu', 'indosat', 'kacau']",seminggu indosat kacau
muhammadazzam648,"Kecewa min saya,setiap mau lebaran kenapa lemot banget nih jaringan.padahal udh langganan puluhan tahun.ðŸ˜­ Kenapa sekarang lemot banget udh 2 hari saya keluar rumah nyari jaringan tp ttp lemot meskipun jaringannya penuh.tolong dong,udh sesetia ini loh,syg banget harus ganti",3/18/26 11:41 PM,Kecewa min saya setiap mau lebaran kenapa lemot banget nih jaringan padahal udh langganan puluhan tahun ringannya penuh tolong dong udh sesetia ini loh syg banget harus ganti,kecewa min saya setiap mau lebaran kenapa lemot banget nih jaringan padahal udh langganan puluhan tahun ringannya penuh tolong dong udh sesetia ini loh syg banget harus ganti,kecewa min saya setiap mau lebaran kenapa lemot banget nih jaringan padahal sudah langganan puluhan tahun ringannya penuh tolong dong sudah sesetia ini loh sayang banget harus ganti,IM3,"['kecewa', 'min', 'saya', 'setiap', 'mau', 'lebaran', 'kenapa', 'lemot', 'banget', 'nih', 'jaringan', 'padahal', 'sudah', 'langganan', 'puluhan', 'tahun', 'ringannya', 'penuh', 'tolong', 'dong', 'sudah', 'sesetia', 'ini', 'loh', 'sayang', 'banget', 'harus', 'ganti']",kecewa lebaran lemot banget jaringan langganan puluhan ringannya penuh tolong sesetia sayang banget ganti
si_jjhon|Lihat terjemahan,Internet masih gak bisa woyy menghubungkan terus nih,3/18/26 11:41 PM,Internet masih gak bisa woyy menghubungkan terus nih,internet masih gak bisa woyy menghubungkan terus nih,internet masih tidak bisa woyy menghubungkan terus nih,IM3,"['internet', 'masih', 'tidak', 'bisa', 'woyy', 'menghubungkan', 'terus', 'nih']",internet woyy menghubungkan
ndyaslmaptri|Lihat terjemahan,Min udh lakuin tips dari mimin tapi tetep lag gimana ini hikss,3/25/26 11:41 PM,Min udh lakuin tips dari mimin tapi tetep lag gimana ini hikss,min udh lakuin tips dari mimin tapi tetep lag gimana ini hikss,min sudah melakukan tips dari admin tapi tetap lag bagaimana ini hikss,IM3,"['min', 'sudah', 'melakukan', 'tips', 'dari', 'admin', 'tapi', 'tetap', 'lag', 'bagaimana', 'ini', 'hikss']",tips admin lag hikss
mas_hasan02,Min kalenderku sebulan tuh 30-31 hari jarang 28 hari. Anda ikutan Mazhab mana sih,4/8/26 11:41 PM,Min kalenderku sebulan tuh 30 31 hari jarang 28 hari Anda ikutan Mazhab mana sih,min kalenderku sebulan tuh 30 31 hari jarang 28 hari anda ikutan mazhab mana sih,min kalenderku sebulan tuh 30 31 hari jarang 28 hari anda ikutan mazhab mana sih,IM3,"['min', 'kalenderku', 'sebulan', 'tuh', '30', '31', 'hari', 'jarang', '28', 'hari', 'anda', 'ikutan', 'mazhab', 'mana', 'sih']",kalenderku sebulan 30 31 jarang 28 ikutan mazhab
anditnelly_officially,Kenapa jaringan hancur banget 2hr ini????? Lokasi medan,3/25/26 11:41 PM,Kenapa jaringan hancur banget 2hr ini Lokasi medan,kenapa jaringan hancur banget 2hr ini lokasi medan,kenapa jaringan hancur banget 2hr ini lokasi medan,IM3,"['kenapa', 'jaringan', 'hancur', 'banget', '2hr', 'ini', 'lokasi', 'medan']",jaringan hancur banget 2hr lokasi medan
a_k_y_30,Mahal mahal sinyal begini dari kemarin,3/25/26 11:41 PM,Mahal mahal sinyal begini dari kemarin,mahal mahal sinyal begini dari kemarin,mahal mahal sinyal begini dari kemarin,IM3,"['mahal', 'mahal', 'sinyal', 'begini', 'dari', 'kemarin']",mahal mahal sinyal kemarin
sarviki_,MIN KANTOR INDOSAT SOLORAYA DIMANA AJA SI YANG DEKET WONOGIRI KARTU KU ANGUS,3/25/26 11:41 PM,MIN KANTOR INDOSAT SOLORAYA DIMANA AJA SI YANG DEKET WONOGIRI KARTU KU ANGUS,min kantor indosat soloraya dimana aja si yang deket wonogiri kartu ku angus,min kantor indosat soloraya dimana saja sih yang dekat wonogiri kartu ku angus,IM3,"['min', 'kantor', 'indosat', 'soloraya', 'dimana', 'saja', 'sih', 'yang', 'dekat', 'wonogiri', 'kartu', 'ku', 'angus']",kantor indosat soloraya dimana wonogiri kartu angus
putut_4j,Photo buat apa sinyal aja sulitðŸ˜‚,3/25/26 11:41 PM,Photo buat apa sinyal aja sulit,photo buat apa sinyal aja sulit,photo buat apa sinyal saja sulit,IM3,"['photo', 'buat', 'apa', 'sinyal', 'saja', 'sulit']",photo sinyal sulit
muhammad_faisal17|Lihat terjemahan,Sinyal lu ngapa dah .. naek turun Mulu buat game,3/18/26 11:41 PM,Sinyal lu ngapa dah naek turun Mulu buat game,sinyal lu ngapa dah naek turun mulu buat game,sinyal kamu ngapa sudah naik turun mulu buat game,IM3,"['sinyal', 'kamu', 'ngapa', 'sudah', 'naik', 'turun', 'mulu', 'buat', 'game']",sinyal ngapa turun mulu game
xnos66,Buat yang pada komplain udah ganti kartu aja soalnya dari 2 bulan lalu gua udah komplain terus tapi gak di tanggepin sayang duit kalian jangan pake ni provider pasti di suruh on/of hape Mulu kalau di DM tapi sama aja gak ada arti nya mau 1000 kali pun on/of hp gak ada guna nya yang ada hp kalian yang rusak,3/25/26 11:41 PM,Buat yang pada komplain udah ganti kartu aja soalnya dari 2 bulan lalu gua udah komplain terus tapi gak di tanggepin sayang duit kalian jangan pake ni provider pasti di suruh on of hape Mulu kalau di DM tapi sama aja gak ada arti nya mau 10 kali pun on of hp gak ada guna nya yang ada hp kalian yang rusak,buat yang pada komplain udah ganti kartu aja soalnya dari 2 bulan lalu gua udah komplain terus tapi gak di tanggepin sayang duit kalian jangan pake ni provider pasti di suruh on of hape mulu kalau di dm tapi sama aja gak ada arti nya mau 10 kali pun on of hp gak ada guna nya yang ada hp kalian yang rusak,buat yang pada komplain sudah ganti kartu saja soalnya dari 2 bulan lalu gua sudah komplain terus tapi tidak di tanggepin sayang duit kalian jangan pakai nih provider pasti di suruh on of hape mulu kalau di dm tapi sama saja tidak ada arti ya mau 10 kali pun on of hp tidak ada guna ya yang ada hp kalian yang rusak,IM3,"['buat', 'yang', 'pada', 'komplain', 'sudah', 'ganti', 'kartu', 'saja', 'soalnya', 'dari', '2', 'bulan', 'lalu', 'gua', 'sudah', 'komplain', 'terus', 'tapi', 'tidak', 'di', 'tanggepin', 'sayang', 'duit', 'kalian', 'jangan', 'pakai', 'nih', 'provider', 'pasti', 'di', 'suruh', 'on', 'of', 'hape', 'mulu', 'kalau', 'di', 'dm', 'tapi', 'sama', 'saja', 'tidak', 'ada', 'arti', 'ya', 'mau', '10', 'kali', 'pun', 'on', 'of', 'hp', 'tidak', 'ada', 'guna', 'ya', 'yang', 'ada', 'hp', 'kalian', 'yang', 'rusak']",komplain ganti kartu 2 komplain tanggepin sayang duit pakai provider suruh on of hape mulu arti 10 kali on of hp hp rusak
neishaaaiaa,MAU LEBARAN LOH INI MASIH AJA NGELAG,3/25/26 11:41 PM,MAU LEBARAN LOH INI MASIH AJA NGELAG,mau lebaran loh ini masih aja ngelag,mau lebaran loh ini masih saja ngelag,IM3,"['mau', 'lebaran', 'loh', 'ini', 'masih', 'saja', 'ngelag']",lebaran ngelag
griannnn_|Lihat terjemahan,jaringan bisa di perbaiki ga ? kalo cuma di jawab suruh on off hp. sampe on off nya mati pun ga akan ngaruh kalo emang kualitas jaringannya buruk,3/18/26 11:41 PM,jaringan bisa di perbaiki ga kalo cuma di jawab suruh on off hp sampe on off nya mati pun ga akan ngaruh kalo emang kualitas jaringannya buruk,jaringan bisa di perbaiki ga kalo cuma di jawab suruh on off hp sampe on off nya mati pun ga akan ngaruh kalo emang kualitas jaringannya buruk,jaringan bisa di perbaiki tidak kalau cuma di jawab suruh on off hp sampai on off ya mati pun tidak akan ngaruh kalau memang kualitas jaringannya buruk,IM3,"['jaringan', 'bisa', 'di', 'perbaiki', 'tidak', 'kalau', 'cuma', 'di', 'jawab', 'suruh', 'on', 'off', 'hp', 'sampai', 'on', 'off', 'ya', 'mati', 'pun', 'tidak', 'akan', 'ngaruh', 'kalau', 'memang', 'kualitas', 'jaringannya', 'buruk']",jaringan perbaiki suruh on off hp on off mati ngaruh kualitas jaringannya buruk
nataiscoming,Internet makin sampah saatnya ganti lah capek,3/18/26 11:41 PM,Internet makin sampah saatnya ganti lah capek,internet makin sampah saatnya ganti lah capek,internet makin sampah saatnya ganti lah capek,IM3,"['internet', 'makin', 'sampah', 'saatnya', 'ganti', 'lah', 'capek']",internet sampah ganti capek
zakkyxmulyana,Harga kuota naik kwalitas jaringan jelek kuota ngga bisa di pake komplen jawaban template terosss,3/18/26 11:41 PM,Harga kuota naik kwalitas jaringan jelek kuota ngga bisa di pake komplen jawaban template teros,harga kuota naik kwalitas jaringan jelek kuota ngga bisa di pake komplen jawaban template teros,harga kuota naik kwalitas jaringan jelek kuota tidak bisa di pakai komplen jawaban template teros,IM3,"['harga', 'kuota', 'naik', 'kwalitas', 'jaringan', 'jelek', 'kuota', 'tidak', 'bisa', 'di', 'pakai', 'komplen', 'jawaban', 'template', 'teros']",harga kuota kwalitas jaringan jelek kuota pakai komplen template teros
danishfathh,"Apasi, tiba2 buka chrome, gajelas banget notif push lo itu, ganggu, provider hama",3/18/26 11:41 PM,Apasi tiba2 buka chrome gajelas banget notif push lo itu ganggu provider hama,apasi tiba2 buka chrome gajelas banget notif push lo itu ganggu provider hama,apasi tiba2 buka chrome tidak jelas banget notif push lo itu ganggu provider hama,IM3,"['apasi', 'tiba2', 'buka', 'chrome', 'tidak', 'jelas', 'banget', 'notif', 'push', 'lo', 'itu', 'ganggu', 'provider', 'hama']",apasi tiba2 buka chrome banget notif push lo ganggu provider hama
elmadsya,"notif promosi lu ganggu banget sumpah, gw lagi kontes lord notif lu malah muncul ngalihin ke chrome KANN JADII KALAHH",3/25/26 11:41 PM,notif promosi lu ganggu banget sumpah gw lagi kontes lord notif lu malah muncul ngalihin ke chrome KANN JADII KALAHH,notif promosi lu ganggu banget sumpah gw lagi kontes lord notif lu malah muncul ngalihin ke chrome kann jadii kalahh,notif promosi kamu ganggu banget sumpah gue lagi kontes lord notif kamu malah muncul ngalihin ke chrome kan jadi kalahh,IM3,"['notif', 'promosi', 'kamu', 'ganggu', 'banget', 'sumpah', 'gue', 'lagi', 'kontes', 'lord', 'notif', 'kamu', 'malah', 'muncul', 'ngalihin', 'ke', 'chrome', 'kan', 'jadi', 'kalahh']",notif promosi ganggu banget sumpah kontes lord notif muncul ngalihin chrome kalahh
kemalslthni21|Lihat terjemahan,"Indosat ngeleg bangett, kalo masih kaya gini,, lama lama gua ganti kartu dh nii ðŸ’©ðŸ’©ðŸ’©ðŸ’©",3/25/26 11:41 PM,Indosat ngeleg bangett kalo masih kaya gini lama lama gua ganti kartu dh nii,indosat ngeleg bangett kalo masih kaya gini lama lama gua ganti kartu dh nii,indosat ngeleg banget kalau masih kayak begini lama lama gua ganti kartu dah ini,IM3,"['indosat', 'ngeleg', 'banget', 'kalau', 'masih', 'kayak', 'begini', 'lama', 'lama', 'gua', 'ganti', 'kartu', 'dah', 'ini']",indosat ngeleg banget kayak ganti kartu dah
1br9h1mfx,"Cek DM min udh geram bgt ama sinyal Indosat, padahal udh bertahun tahun pake kartu Indosat terus, kalo kyk gini terus bisa ngurangin penjualan lu min, jelek bgt sumpah",3/18/26 11:41 PM,Cek DM min udh geram bgt ama sinyal Indosat padahal udh bertahun tahun pake kartu Indosat terus kalo kyk gini terus bisa ngurangin penjualan lu min jelek bgt sumpah,cek dm min udh geram bgt ama sinyal indosat padahal udh bertahun tahun pake kartu indosat terus kalo kyk gini terus bisa ngurangin penjualan lu min jelek bgt sumpah,cek dm min sudah geram banget sama sinyal indosat padahal sudah bertahun tahun pakai kartu indosat terus kalau kayak begini terus bisa ngurangin penjualan kamu min jelek banget sumpah,IM3,"['cek', 'dm', 'min', 'sudah', 'geram', 'banget', 'sama', 'sinyal', 'indosat', 'padahal', 'sudah', 'bertahun', 'tahun', 'pakai', 'kartu', 'indosat', 'terus', 'kalau', 'kayak', 'begini', 'terus', 'bisa', 'ngurangin', 'penjualan', 'kamu', 'min', 'jelek', 'banget', 'sumpah']",geram banget sinyal indosat bertahun pakai kartu indosat kayak ngurangin penjualan jelek banget sumpah
doday_246,Admin tlg cek dm ya,3/25/26 11:41 PM,Admin tlg cek dm ya,admin tlg cek dm ya,admin tolong cek dm ya,IM3,"['admin', 'tolong', 'cek', 'dm', 'ya']",admin tolong
sandrik.s,"Ga ush kebanyakan promo, benerin jaringan lu woy, ush berapa jam ini",3/18/26 11:41 PM,Ga ush kebanyakan promo benerin jaringan lu woy ush berapa jam ini,ga ush kebanyakan promo benerin jaringan lu woy ush berapa jam ini,tidak usah kebanyakan promo benerin jaringan kamu woy usah berapa jam ini,IM3,"['tidak', 'usah', 'kebanyakan', 'promo', 'benerin', 'jaringan', 'kamu', 'woy', 'usah', 'berapa', 'jam', 'ini']",kebanyakan promo benerin jaringan jam
fikri.alfi120,Min ada cara buat nambahin waktu aktif paket internet gak? Soalnya paket internet im3ku masih banyak gara gara gak bisa dipakai beberapa hari (gara gara tower im3 mati itu). Paket internetnya masih ada 50GB tapi hari ini hari terakhir dan hangus besok hari (19 maret),3/18/26 11:41 PM,Min ada cara buat nambahin waktu aktif paket internet gak Soalnya paket internet im3ku masih banyak gara gara gak bisa dipakai beberapa hari gara gara tower im3 mati itu Paket internetnya masih ada 50GB tapi hari ini hari terakhir dan hangus besok hari 19 maret,min ada cara buat nambahin waktu aktif paket internet gak soalnya paket internet im3ku masih banyak gara gara gak bisa dipakai beberapa hari gara gara tower im3 mati itu paket internetnya masih ada 50gb tapi hari ini hari terakhir dan hangus besok hari 19 maret,min ada cara buat nambahin waktu aktif paket internet tidak soalnya paket internet im3ku masih banyak gara gara tidak bisa dipakai beberapa hari gara gara tower im3 mati itu paket internetnya masih ada 50gb tapi hari ini hari terakhir dan hangus besok hari 19 maret,IM3,"['min', 'ada', 'cara', 'buat', 'nambahin', 'waktu', 'aktif', 'paket', 'internet', 'tidak', 'soalnya', 'paket', 'internet', 'im3ku', 'masih', 'banyak', 'gara', 'gara', 'tidak', 'bisa', 'dipakai', 'beberapa', 'hari', 'gara', 'gara', 'tower', 'im3', 'mati', 'itu', 'paket', 'internetnya', 'masih', 'ada', '50gb', 'tapi', 'hari', 'ini', 'hari', 'terakhir', 'dan', 'hangus', 'besok', 'hari', '19', 'maret']",nambahin aktif paket internet paket internet im3ku gara gara dipakai gara gara tower im3 mati paket internetnya 50gb hangus besok 19 maret
novalzalzhi,kok udah gabisa bayar lewat dana siiii,3/18/26 11:41 PM,kok udah gabisa bayar lewat dana si,kok udah gabisa bayar lewat dana si,kok sudah tidak bisa bayar lewat dana sih,IM3,"['kok', 'sudah', 'tidak', 'bisa', 'bayar', 'lewat', 'dana', 'sih']",bayar dana
msauqi29,Mantep gini im3 sinyalnya kerennðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,3/18/26 11:41 PM,Mantep gini im3 sinyalnya kerenn,mantep gini im3 sinyalnya kerenn,mantap begini im3 sinyalnya keren,IM3,"['mantap', 'begini', 'im3', 'sinyalnya', 'keren']",mantap im3 sinyalnya keren
